analysis,feed,ingredient,impact,value
FA2,yeast,wheatGrain,Primary Production Requirement (kg C),0.01033405
FA2,yeast,wheatGluten,Primary Production Requirement (kg C),0.2344869036848
FA2,yeast,wheatStarch,Primary Production Requirement (kg C),0.019228508
FA2,yeast,favaBeans,Primary Production Requirement (kg C),0.025334
FA2,yeast,sunflowerSeeds,Primary Production Requirement (kg C),0.00692640138528
FA2,yeast,rapeseed,Primary Production Requirement (kg C),0.390206763067293
FA2,yeast,corn,Primary Production Requirement (kg C),0.0996057999783
FA2,yeast,fishMeal,Primary Production Requirement (kg C),6.50997555072497
FA2,yeast,fishOil,Primary Production Requirement (kg C),15.2182301090895
FA2,standard,fava beans w/transport,Terrestrial Acidification (kg SO2 eq.),0.000491
FA2,standard,fish oil w/transp,Terrestrial Acidification (kg SO2 eq.),0.00178
FA2,standard,fishmeal w/transp,Terrestrial Acidification (kg SO2 eq.),0.00126
FA2,standard,Maize gluten (pelletier disseration via Cederberg),Terrestrial Acidification (kg SO2 eq.),0.00021
FA2,standard,Rapeseed oil,Terrestrial Acidification (kg SO2 eq.),0.00369
FA2,standard,sbm w/transp,Terrestrial Acidification (kg SO2 eq.),7.32E-05
FA2,standard,Soy protein concentrate (3.5 data),Terrestrial Acidification (kg SO2 eq.),0.00329
FA2,standard,Sunflower meal,Terrestrial Acidification (kg SO2 eq.),0.000312703496862733
FA2,standard,wheat flour,Terrestrial Acidification (kg SO2 eq.),3.20E-05
FA2,standard,Wheat gluten,Terrestrial Acidification (kg SO2 eq.),0.00114444833240699
FA2,standard,"CH: treatment, sewage, to wastewater treatment, class 2",Terrestrial Acidification (kg SO2 eq.),9.68E-08
FA2,standard,"Europe without Switzerland: heat production, natural gas, at industrial furnace >100kW ecoinvent 3.5",Terrestrial Acidification (kg SO2 eq.),5.23E-06
FA2,standard,NO: Electricity grid mix ts,Terrestrial Acidification (kg SO2 eq.),4.27E-06
FA2,standard,NO: Electricity grid mix ts__1,Terrestrial Acidification (kg SO2 eq.),5.93E-07
FA2,standard,"RER: tap water, at user",Terrestrial Acidification (kg SO2 eq.),6.19E-08
FA2,bacteria,Bacteria meal - Calysta,Terrestrial Acidification (kg SO2 eq.),0.00238203904812686
FA2,bacteria,fava beans w/transport,Terrestrial Acidification (kg SO2 eq.),0.000649618081135335
FA2,bacteria,fish oil w/transp,Terrestrial Acidification (kg SO2 eq.),0.00179730154353857
FA2,bacteria,fishmeal w/transp,Terrestrial Acidification (kg SO2 eq.),0.00142465388764318
FA2,bacteria,Maize gluten (pelletier disseration via Cederberg),Terrestrial Acidification (kg SO2 eq.),0.000153616468323297
FA2,bacteria,Rapeseed oil,Terrestrial Acidification (kg SO2 eq.),0.00330192514179587
FA2,bacteria,Sunflower meal,Terrestrial Acidification (kg SO2 eq.),0.000271812711305342
FA2,bacteria,wheat flour,Terrestrial Acidification (kg SO2 eq.),0.000220246283115396
FA2,bacteria,Wheat gluten,Terrestrial Acidification (kg SO2 eq.),0.000387185884490755
FA2,bacteria,"CH: treatment, sewage, to wastewater treatment, class 2",Terrestrial Acidification (kg SO2 eq.),9.45E-08
FA2,bacteria,"Europe without Switzerland: heat production, natural gas, at industrial furnace >100kW ecoinvent 3.5",Terrestrial Acidification (kg SO2 eq.),5.11E-06
FA2,bacteria,NO: Electricity grid mix ts,Terrestrial Acidification (kg SO2 eq.),5.79E-07
FA2,bacteria,NO: Electricity grid mix ts__1,Terrestrial Acidification (kg SO2 eq.),4.27E-06
FA2,bacteria,"RER: tap water, at user",Terrestrial Acidification (kg SO2 eq.),6.05E-08
FA2,yeast,fava beans w/transport,Terrestrial Acidification (kg SO2 eq.),0.00066
FA2,yeast,fish oil w/transp,Terrestrial Acidification (kg SO2 eq.),0.00185
FA2,yeast,fishmeal w/transp,Terrestrial Acidification (kg SO2 eq.),0.00147
FA2,yeast,Maize gluten (pelletier disseration via Cederberg),Terrestrial Acidification (kg SO2 eq.),0.000187
FA2,yeast,Rapeseed oil,Terrestrial Acidification (kg SO2 eq.),0.00337
FA2,yeast,Sunflower meal,Terrestrial Acidification (kg SO2 eq.),0.000391
FA2,yeast,wheat flour,Terrestrial Acidification (kg SO2 eq.),0.000165252122390922
FA2,yeast,Wheat gluten,Terrestrial Acidification (kg SO2 eq.),0.00062021119324813
FA2,yeast,Yeast protein concentrate (3.5 data) Tallentire 2018,Terrestrial Acidification (kg SO2 eq.),0.00168214917931959
FA2,yeast,"CH: treatment, sewage, to wastewater treatment, class 2",Terrestrial Acidification (kg SO2 eq.),9.75E-08
FA2,yeast,"Europe without Switzerland: heat production, natural gas, at industrial furnace >100kW ecoinvent 3.5",Terrestrial Acidification (kg SO2 eq.),5.27E-06
FA2,yeast,NO: Electricity grid mix ts,Terrestrial Acidification (kg SO2 eq.),5.97E-07
FA2,yeast,NO: Electricity grid mix ts__1,Terrestrial Acidification (kg SO2 eq.),4.28E-06
FA2,yeast,"RER: tap water, at user",Terrestrial Acidification (kg SO2 eq.),6.24E-08
